Incident Date,State,City/County,Address,# killed,# injured
"May 12, 2017",Ohio,Kirkersville,215 E Main St,4,0
"May 11, 2017",Louisiana,Cottonport (Longbridge),N/A,0,3
"May 11, 2017",Arkansas,Dardanelle,State Highway 27 and Slo Fork Road,3,0
"May 10, 2017",New Jersey,Trenton,300 block of Centre St,1,3
"May 9, 2017",Ohio,Tiffin,92 N. Tecumseh Trail,1,1
"May 9, 2017",Colorado,Westminster,1300 block of 135th Dr,1,1
"May 7, 2017",New York,Buffalo,Garfield St and Hartman Pl,1,1
"May 5, 2017",Massachusetts,Braintree,125 Union St,1,1
"May 3, 2017",South Dakota,Madison,453rd Ave and Co Hwy 56,0,1
"May 2, 2017",California,San Bernardino,18901 Institution Road,0,1
"May 2, 2017",Illinois,Chicago,4300 block of South Ashland Av,0,2
"May 1, 2017",Texas,Dallas,3200 block of Reynolds Ave,2,3
"May 1, 2017",Iowa,Council Bluffs,1400 Big Lake Rd,1,2
"April 30, 2017",Michigan,Detroit,10000 block of Joy Rd,1,1
"April 26, 2017",Georgia,Commerce,800 Steven B Tanger Blvd,1,3
"April 26, 2017",Arkansas,Booneville,N/A,0,1
"April 26, 2017",Delaware,Bear,1693 Pulaski Hwy,2,0
"April 22, 2017",California,Yuba City,730 Palora Ave.,1,1
"April 20, 2017",Washington,Seattle,909 1st Ave,1,3
"April 20, 2017",South Carolina,Hardeeville,Sanders Road,1,2
"April 18, 2017",Oklahoma,Mulhall,I-35 and Mulhall Rd,1,0
"April 16, 2017",Michigan,Detroit,20500 block of Lesure St,0,1
"April 16, 2017",Indiana,New Palestine,N/A,0,1
"April 14, 2017",Colorado,Pueblo,Cypress St,0,1
"April 11, 2017",Ohio,Newcomerstown,Johnson Hill Rd and Post Boy Rd,0,1
"April 3, 2017",Texas,Baytown,700 block of W Baker Rd,2,0
"April 2, 2017",New Mexico,Ruidoso,211 Sudderth Dr,0,1
"April 1, 2017",West Virginia,Cowen,Meadow Fork Road,0,1
"March 31, 2017",Texas,Houston,3203 S Dairy Ashford Rd,1,0
"March 29, 2017",Missouri,Independence,3600 block of S Delaware,0,1
"March 28, 2017",West Virginia,Alum Creek,571 Midway Rd,0,1
"March 27, 2017",Florida,Miami,1937 NW 60th St,0,3
"March 27, 2017",Tennessee,Lewisburg,1300 S Ellington Pkwy,1,1
"March 27, 2017",Mississippi,Mathiston,Hwy 82 E,1,1
"March 26, 2017",California,Anderson,2861 McMurray Dr,1,1
"March 26, 2017",Alaska,Wasilla,George Parks Hwy,1,0
"March 26, 2017",Oklahoma,Shawnee,Benson Park Rd and Gordon Cooper Dr,1,1
"March 24, 2017",California,Cottonwood,I-5 and Sunset Hills Dr,1,2
"March 24, 2017",Louisiana,Shreveport,Mertis Ave and Frederick St,0,1
"March 24, 2017",Georgia,Henry (county),Loop Road,1,0
"March 23, 2017",Missouri,Springfield,College St and Lexington Ave,0,1
"March 22, 2017",Louisiana,Crowley,400 block of Josey Dr,3,1
"March 22, 2017",Wisconsin,Rothschild,1133 E Grand Ave,5,0
"March 19, 2017",Florida,Vero Beach,4545 35th Ave,1,1
"March 18, 2017",Louisiana,Baton Rouge,1962 O'Neal Lane,2,0
"March 18, 2017",Kansas,Wichita,2320 E MacArthur Rd,1,0
"March 16, 2017",California,Hesperia,Escondido Ave and Ranchero Rd,0,1
"March 16, 2017",Texas,San Antonio (Kirby),5100 block of Tom Stafford Dr,0,1
"March 15, 2017",Florida,Saint Petersburg,5157 80th Way,1,1
"March 15, 2017",Ohio,Columbus,S Burgess Ave and W Broad St,0,2
"March 15, 2017",Michigan,Detroit,Tillman and Ash,0,3
"March 12, 2017",New Mexico,Prewitt,Co Rd 19,1,0
"March 12, 2017",Ohio,Cincinnati (Walnut Hills),2651 Gilbert Av,0,2
"March 10, 2017",Pennsylvania,Pittsburgh,Tipton St,0,1
"March 10, 2017",Missouri,Wyatt,Pecan St,0,2
"March 9, 2017",Florida,Clewiston,944 Kentucky Ave,0,1
"March 6, 2017",Washington,Colbert,E Colbert Rd and N Leslie Ln,1,1
"March 2, 2017",Nevada,Reno,Kietzke Ln and Peckham,1,2
"March 1, 2017",Missouri,Joplin,3510 S Range Line Road,0,2
"March 1, 2017",Kentucky,Louisville,5301 Mitscher Ave,0,1
"February 28, 2017",Ohio,Cleveland,2309 St Clair Ave NE,0,3
"February 28, 2017",Texas,Houston,8714 Sterlingame,1,2
"February 28, 2017",Florida,Orlando,8500 block of S Texas Ave,1,2
"February 27, 2017",North Carolina,Browns Summit,2800 Brookledge Court,0,3
"February 27, 2017",Texas,Houston,10235 Almeda Genoa Rd,0,2
"February 25, 2017",Florida,Casselberry,Crestview Drive and Winter Park Drive,1,2
"February 23, 2017",District of Columbia,Washington,1300 block of Morse St NE,1,2
"February 23, 2017",New York,Bronx,3363 Sedgewick Ave,1,0
"February 22, 2017",Texas,Houston,11300 block of Trickey Rd,0,0
"February 21, 2017",Texas,Laredo,U.S. 59,1,0
"February 20, 2017",California,Whittier,Colima Rd and Mar Vista St,2,2
"February 18, 2017",District of Columbia,Washington,2300 block of Green St SE,0,1
"February 17, 2017",New Jersey,Franklin Lakes,Cobblestone Court,0,1
"February 11, 2017",Kentucky,Louisville,1234 Oleanda Ave,1,1
"February 10, 2017",Georgia,Eastman,200 block of Wilson Woodard Rd,0,1
"February 10, 2017",North Carolina,Greensboro,Bernau Ave and Baker St,1,1
"February 3, 2017",North Carolina,Hickory,1252 12th Street Place NW,1,1
"February 3, 2017",Florida,Miami (Miami Shores),10674 NE 11th Ct,1,1
"January 31, 2017",Texas,Houston,7000 Block of Martin Luther King Blvd,0,1
"January 30, 2017",Nebraska,Omaha,31st and Turner Blvd,0,2
"January 25, 2017",Mississippi,Southaven,465 Stateline Rd W,1,2
"January 25, 2017",Ohio,Heath,1287 Hebron Road,0,1
"January 22, 2017",Maine,Waldoboro,81 River Bend Rd,1,1
"January 20, 2017",Louisiana,Marrero,Ames Blvd and Barataria Blvd,3,0
"January 19, 2017",Texas,Fritch,Arroyo Verde Dr,1,1
"January 18, 2017",North Dakota,Belcourt,89th St,2,0
"January 18, 2017",Indiana,Gary,700 block of 42nd Avenue,1,0
"January 17, 2017",Texas,Little Elm,1400 block of Turtle Cove Drive,2,0
"January 16, 2017",Idaho,Blanchard,Mountain View Rd,0,3
"January 12, 2017",Arizona,Tonopah,I 10,1,1
"January 9, 2017",Florida,Orlando,3101 Princeton Street,1,0
"January 9, 2017",Georgia,West Point,Samples St and Jackson St,0,2
"January 8, 2017",Kentucky,Morehead,1090 Island Fork Road,3,1
"January 7, 2017",California,Elk Grove,W Stockton Blvd and Dunisch Rd,0,2
"January 7, 2017",Louisiana,Bastrop,US 165,0,1
"January 4, 2017",Kentucky,Lancaster,870 Stanford Rd,1,1
"January 1, 2017",Oklahoma,Oklahoma City,Eastern Ave and I 240,0,1
"January 1, 2017",Texas,Calvert,Cotton Cemetery Rd,0,1
